Year,County,Surgery,# of Cases (ICD 10)
2013,Los Angeles,Colon,62
2013,Los Angeles,Prostate,38
2013,Los Angeles,Pancreas,1
2013,Los Angeles,Breast,122
2013,Los Angeles,Stomach,3
2013,Los Angeles,Lung,10
2013,Los Angeles,Brain,8
2013,Los Angeles,Bladder,1
2013,Los Angeles,Colon,7
2013,Los Angeles,Brain,3
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Lung,5
2013,Los Angeles,Breast,12
2013,Los Angeles,Breast,4
2013,Los Angeles,Colon,2
2013,Los Angeles,Prostate,2
2013,Los Angeles,Stomach,1
2013,Los Angeles,Brain,2
2013,Los Angeles,Lung,1
2013,Los Angeles,Colon,16
2013,Los Angeles,Rectum,2
2013,Los Angeles,Breast,25
2013,Los Angeles,Breast,7
2013,Los Angeles,Brain,1
2013,Los Angeles,Lung,6
2013,Los Angeles,Stomach,2
2013,Los Angeles,Colon,9
2013,Los Angeles,Rectum,8
2013,Los Angeles,Brain,4
2013,Los Angeles,Stomach,4
2013,Los Angeles,Prostate,3
2013,Los Angeles,Pancreas,2
2013,Los Angeles,Colon,10
2013,Los Angeles,Breast,71
2013,Los Angeles,Lung,1
2013,Los Angeles,Stomach,3
2013,Los Angeles,Breast,14
2013,Los Angeles,Rectum,1
2013,Los Angeles,Lung,7
2013,Los Angeles,Brain,6
2013,Los Angeles,Colon,16
2013,Los Angeles,Prostate,2
2013,Los Angeles,Colon,4
2013,Los Angeles,Breast,4
2013,Los Angeles,Pancreas,1
2013,Los Angeles,Pancreas,9
2013,Los Angeles,Rectum,26
2013,Los Angeles,Prostate,398
2013,Los Angeles,Bladder,40
2013,Los Angeles,Colon,56
2013,Los Angeles,Lung,40
2013,Los Angeles,Brain,45
2013,Los Angeles,Stomach,29
2013,Los Angeles,Liver,56
2013,Los Angeles,Esophagus,9
2013,Los Angeles,Breast,437
2013,Los Angeles,Breast,3
2013,Los Angeles,Colon,3
2013,Los Angeles,Stomach,2
2013,Los Angeles,Colon,2
2013,Los Angeles,Breast,1
2013,Los Angeles,Breast,62
2013,Los Angeles,Lung,1
2013,Los Angeles,Colon,20
2013,Los Angeles,Brain,8
2013,Los Angeles,Stomach,6
2013,Los Angeles,Rectum,9
2013,Los Angeles,Breast,20
2013,Los Angeles,Stomach,6
2013,Los Angeles,Prostate,2
2013,Los Angeles,Lung,5
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Colon,22
2013,Los Angeles,Brain,5
2013,Los Angeles,Lung,2
2013,Los Angeles,Stomach,5
2013,Los Angeles,Breast,63
2013,Los Angeles,Rectum,3
2013,Los Angeles,Prostate,8
2013,Los Angeles,Colon,30
2013,Los Angeles,Brain,6
2013,Los Angeles,Breast,1
2013,Los Angeles,Colon,4
2013,Los Angeles,Colon,1
2013,Los Angeles,Brain,3
2013,Los Angeles,Rectum,2
2013,Los Angeles,Breast,54
2013,Los Angeles,Colon,14
2013,Los Angeles,Lung,2
2013,Los Angeles,Stomach,1
2013,Los Angeles,Breast,10
2013,Los Angeles,Colon,6
2013,Los Angeles,Prostate,1
2013,Los Angeles,Brain,2
2013,Los Angeles,Stomach,3
2013,Los Angeles,Rectum,1
2013,Los Angeles,Brain,7
2013,Los Angeles,Rectum,5
2013,Los Angeles,Liver,1
2013,Los Angeles,Breast,48
2013,Los Angeles,Stomach,6
2013,Los Angeles,Colon,33
2013,Los Angeles,Lung,19
2013,Los Angeles,Bladder,1
2013,Los Angeles,Prostate,7
2013,Los Angeles,Prostate,19
2013,Los Angeles,Stomach,4
2013,Los Angeles,Rectum,8
2013,Los Angeles,Pancreas,3
2013,Los Angeles,Lung,4
2013,Los Angeles,Liver,1
2013,Los Angeles,Breast,77
2013,Los Angeles,Colon,26
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Brain,11
2013,Los Angeles,Bladder,1
2013,Los Angeles,Colon,1
2013,Los Angeles,Breast,1
2013,Los Angeles,Rectum,1
2013,Los Angeles,Breast,3
2013,Los Angeles,Colon,1
2013,Los Angeles,Breast,2
2013,Los Angeles,Stomach,6
2013,Los Angeles,Rectum,6
2013,Los Angeles,Breast,64
2013,Los Angeles,Lung,1
2013,Los Angeles,Brain,1
2013,Los Angeles,Colon,22
2013,Los Angeles,Esophagus,2
2013,Los Angeles,Breast,84
2013,Los Angeles,Bladder,1
2013,Los Angeles,Rectum,10
2013,Los Angeles,Stomach,11
2013,Los Angeles,Pancreas,3
2013,Los Angeles,Lung,20
2013,Los Angeles,Liver,6
2013,Los Angeles,Colon,51
2013,Los Angeles,Brain,7
2013,Los Angeles,Prostate,10
2013,Los Angeles,Stomach,5
2013,Los Angeles,Rectum,5
2013,Los Angeles,Prostate,1
2013,Los Angeles,Pancreas,8
2013,Los Angeles,Breast,32
2013,Los Angeles,Brain,8
2013,Los Angeles,Lung,5
2013,Los Angeles,Colon,14
2013,Los Angeles,Liver,12
2013,Los Angeles,Stomach,12
2013,Los Angeles,Rectum,18
2013,Los Angeles,Prostate,122
2013,Los Angeles,Pancreas,16
2013,Los Angeles,Liver,8
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Colon,61
2013,Los Angeles,Breast,145
2013,Los Angeles,Lung,25
2013,Los Angeles,Brain,27
2013,Los Angeles,Bladder,6
2013,Los Angeles,Lung,6
2013,Los Angeles,Colon,31
2013,Los Angeles,Stomach,2
2013,Los Angeles,Rectum,3
2013,Los Angeles,Brain,3
2013,Los Angeles,Breast,36
2013,Los Angeles,Stomach,13
2013,Los Angeles,Rectum,23
2013,Los Angeles,Prostate,63
2013,Los Angeles,Liver,2
2013,Los Angeles,Esophagus,12
2013,Los Angeles,Colon,81
2013,Los Angeles,Breast,286
2013,Los Angeles,Brain,3
2013,Los Angeles,Bladder,7
2013,Los Angeles,Lung,37
2013,Los Angeles,Lung,48
2013,Los Angeles,Liver,68
2013,Los Angeles,Esophagus,1
2013,Los Angeles,Colon,50
2013,Los Angeles,Brain,44
2013,Los Angeles,Breast,238
2013,Los Angeles,Bladder,25
2013,Los Angeles,Pancreas,23
2013,Los Angeles,Stomach,12
2013,Los Angeles,Rectum,27
2013,Los Angeles,Prostate,72
2013,Los Angeles,Stomach,12
2013,Los Angeles,Rectum,6
2013,Los Angeles,Prostate,10
2013,Los Angeles,Pancreas,10
2013,Los Angeles,Breast,236
2013,Los Angeles,Bladder,1
2013,Los Angeles,Liver,5
2013,Los Angeles,Colon,41
2013,Los Angeles,Pancreas,5
2013,Los Angeles,Lung,65
2013,Los Angeles,Liver,3
2013,Los Angeles,Esophagus,4
2013,Los Angeles,Colon,49
2013,Los Angeles,Breast,167
2013,Los Angeles,Bladder,3
2013,Los Angeles,Stomach,10
2013,Los Angeles,Rectum,4
2013,Los Angeles,Rectum,10
2013,Los Angeles,Pancreas,10
2013,Los Angeles,Lung,3
2013,Los Angeles,Colon,59
2013,Los Angeles,Breast,179
2013,Los Angeles,Bladder,5
2013,Los Angeles,Liver,7
2013,Los Angeles,Stomach,9
2013,Los Angeles,Prostate,342
2013,Los Angeles,Lung,16
2013,Los Angeles,Brain,4
2013,Los Angeles,Stomach,4
2013,Los Angeles,Liver,8
2013,Los Angeles,Bladder,2
2013,Los Angeles,Colon,33
2013,Los Angeles,Breast,127
2013,Los Angeles,Prostate,33
2013,Los Angeles,Rectum,8
2013,Los Angeles,Pancreas,7
2013,Los Angeles,Colon,2
2013,Los Angeles,Stomach,1
2013,Los Angeles,Rectum,1
2013,Los Angeles,Rectum,2
2013,Los Angeles,Prostate,6
